Age,Gender,Screen Time,Screen Time (minutes),Day of Highest Phone Usage,Phone Pickups,Notifications,Apps
31,Female,3h 17m,197,Tuesday,100,57,37
28,Female,4h 48m,288,Monday,214,129,97
34,Female,5h 00m,300,Friday ,10,10,20
24,Female,6h 48m,408,Saturday ,152,271,65
26,Male,3h 00m,180,Friday,20,5,8
31,Female,6h 12m,372,Friday,70,84,72
28,Female,8h 48m,528,Monday,32,127,63
70,Male,7h 22m,442,Sunday,103,205,278
67,Female,5h 00m,300,Thursday ,35,82,75
43,Female,1h 30m,90,Sunday,8,15,15
34,Male,4h 25m,265,Saturday,134,136,145
28,Female,3h 08m,188,Sunday,52,117,199
25,Male,2h 54m,174,Sunday,123,86,62
35,Male,6h 00m,360,Friday,159,160,125
23,Female,5h 26m,326,Tuesday ,100,550,140
27,Female,5h 00m,300,Thursday,90,89,30
30,Female,4h 34m,274,Sunday,164,65,64
27,Female,4h 00m,240,Thursday,82,113,133
23,Female,3h 00m,180,Sunday,100,83,39
77,Male,1h 05m,65,Sunday ,47,57,148
68,Female,0h 39m,39,Friday,5,0,131
34,Female,6h 20m,380,Saturday ,30,126,44
36,Male,9h 06m,546,Friday,70,125,206
27,Male,5h 40m,340,Tuesday,154,245,50
31,Female,2h 50m,170,Wednesday ,30,65,28
27,Female,4h 00m,240,Friday,66,115,122
27,Male,4h 00m,240,Thursday ,45,42,150
30,Female,3h 49m,229,Saturday,159,144,81
56,Female,5h 27m,327,Monday,22,47,97
25,Female,9h 32m,572,Sunday,148,102,36
35,Female,4h 08m,248,Saturday ,92,76,80
34,Female,2h 59m,179,Friday,71,34,36
26,Male,6h 30m,390,Tuesday,40,43,46
26,Male,3h 20m,200,Friday,102,347,276
25,Female,4h 06m,246,Monday,114,170,223
26,Female,2h 21m,141,Friday ,36,69,71
26,Male,7h 00m,420,Sunday,134,141,71
24,Female,6h 21m,381,Friday,105,156,121
56,Female,4h 03m,243,Friday,42,60,64
57,Male,6h 34m,394,Tuesday,83,240,148
22,Male,6h 03m,363,Wednesday,109,192,96
29,Female,3h 54m,234,Wednesday,38,69,222
27,Male,6h 46m,406,Sunday,73,283,85
24,Female,4h 43m,283,Monday,110,220,116
